Title,AgeRating
Star Wars: Episode IV - A New Hope,
The Shawshank Redemption,R
Trainspotting,R
The Usual Suspects,R
The Wrong Trousers,
A Close Shave,
Star Trek: First Contact,PG-13
Casablanca,PG
Blade Runner,R
Schindler's List,R
Citizen Kane,PG
Pulp Fiction,R
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,PG
The Godfather,R
The English Patient,R
Braveheart,R
Beautiful Thing,
Lone Star,
Toy Story,G
One Flew Over the Cuckoo's Nest,R
Romeo + Juliet,PG-13
Fargo,R
The Postman,R
Three Colors: Red,
Seven Samurai,
Star Wars: Episode V - The Empire Strikes Back,PG
Up in Smoke,
Léon: The Professional,
The Princess Bride,PG
Sense and Sensibility,PG
2001: A Space Odyssey,G
Reservoir Dogs,R
The City of Lost Children,
Indiana Jones and the Raiders of the Lost Ark,
That Thing You Do!,PG
Clerks,R
Brazil,R
Monty Python and the Holy Grail,PG
Rear Window,PG
Se7en,R
Aliens,R
A Clockwork Orange,(Banned)
The Rock,R
Withnail & I,
"The Good, the Bad and the Ugly",
12 Monkeys,
It's a Wonderful Life,PG
Babe,
The Transformers: The Movie,
Dead Man Walking,
To Kill a Mockingbird,Approved
12 Angry Men,Approved
Lawrence of Arabia,Approved
North by Northwest,Approved
Apocalypse Now,R
Dazed and Confused,R
Underground,
Goodfellas,R
Once Were Warriors,
A Time to Kill,R
Star Wars: Episode VI - Return of the Jedi,PG
Once Upon a Time in the West,PG-13
Cinema Paradiso,
Taxi Driver,R
Heat,R
Three Colors: Blue,
The Silence of the Lambs,R
Vertigo,PG
Wings of Desire,
Ransom,
Mystery Science Theater 3000: The Movie,
Alien,R
The Big Blue,
The Blues Brothers,R
The Third Man,
Army of Darkness,R
The Godfather: Part II,R
Psycho,R
Secrets & Lies,
The Killer,
 Babylon 5,
The Wizard of Oz,G
Empire Records,PG-13
Full Metal Jacket,R
Ran,R
A Grand Day Out,
Tombstone,R
The Maltese Falcon,Passed
Terminator 2: Judgment Day,R
The Double Life of Véronique,
The Quiet Man,
Once Upon a Time in America,R
Stalker,Not Rated
Sunset Blvd.,Passed
Gone with the Wind,Passed
Singin' in the Rain,G
Smoke,
Amadeus,PG
Henry V,
Rumble in the Bronx,
Much Ado About Nothing,
Raging Bull,R
Harold and Maude,PG
Emma,
Hard Boiled,
Delicatessen,
The Fugitive,PG-13
Annie Hall,PG
Das Boot,None
Breakfast at Tiffany's,Approved
Local Hero,
Now and Then,PG-13
Trust,
Dead Man,
Roman Holiday,
Rashomon,
Glory,R
The Right Stuff,
Modern Times,
Metropolis,Not Rated
Mr. Holland's Opus,
The Seventh Seal,
Braindead,R
Courage Under Fire,
Apollo 13,PG
The Lion King,G
The Sting,PG
True Romance,R
Touch of Evil,
The Hunchback of Notre Dame,G
While You Were Sleeping,PG
The Wild Bunch,
Bound,R
Some Like It Hot,Passed
Dead Poets Society,PG
Heavenly Creatures,R
The Crow,R
The Graduate,PG
Manhattan,
Rosencrantz & Guildenstern Are Dead,
Paths of Glory,Approved
Better Off Dead...,PG
The Terminator,R
Nikita,R
Cheech and Chong's Next Movie,
Tom and Huck,
The African Queen,
Life of Brian,R
The Day the Earth Stood Still,PG-13
Man Bites Dog,
The Ghost and the Darkness,
Miller's Crossing,
8½,
The Deer Hunter,R
Chinatown,R
Pump Up the Volume,
The Bridge on the River Kwai,
Stand by Me,R
Mallrats,R
The Treasure of the Sierra Madre,
