Title,Languages,AgeRating
,,
The Shawshank Redemption,R,['English']
,,
The Dark Knight,PG-13,"['English', 'Mandarin']"
,,
Inception,PG-13,"['English', 'Japanese', 'French']"
,,
Fight Club,R,['English']
,,
Pulp Fiction,R,"['English', 'Spanish', 'French']"
,,
Forrest Gump,PG-13,['English']
,,
The Matrix,R,['English']
,,
The Lord of the Rings: The Fellowship of the Ring,PG-13,"['English', 'Sindarin']"
,,
The Lord of the Rings: The Return of the King,PG-13,"['English', 'Quenya', 'Old English', 'Sindarin']"
,,
The Godfather,R,"['English', 'Italian', 'Latin']"
,,
The Dark Knight Rises,PG-13,"['English', 'Arabic']"
,,
Interstellar,PG-13,['English']
,,
The Lord of the Rings: The Two Towers,PG-13,"['English', 'Sindarin', 'Old English']"
,,
Se7en,R,['English']
,,
Django Unchained,R,"['English', 'German', 'French', 'Italian']"
,,
Gladiator,R,['English']
,,
Batman Begins,PG-13,"['English', 'Mandarin']"
,,
The Silence of the Lambs,R,"['English', 'Latin']"
,,
The Avengers,PG-13,"['English', 'Russian', 'Hindi']"
,,
Inglourious Basterds,R,"['English', 'German', 'French', 'Italian']"
,,
Saving Private Ryan,R,"['English', 'French', 'German', 'Czech']"
,,
Star Wars,PG,['English']
,,
Schindler's List,R,"['English', 'Hebrew', 'German', 'Polish', 'Latin']"
,,
The Departed,R,"['English', 'Cantonese']"
,,
The Prestige,PG-13,['English']
,,
The Wolf of Wall Street,R,"['English', 'French']"
,,
Star Wars: Episode V - The Empire Strikes Back,PG,['English']
,,
The Green Mile,R,"['English', 'French']"
,,
The Godfather: Part II,R,"['English', 'Italian', 'Spanish', 'Latin', 'Sicilian']"
,,
Shutter Island,R,"['English', 'German']"
,,
Memento,R,['English']
,,
Avatar,PG-13,"['English', 'Spanish']"
,,
American Beauty,R,['English']
,,
Back to the Future,PG,['English']
,,
Titanic,PG-13,"['English', 'Swedish', 'Italian', 'French']"
,,
Guardians of the Galaxy,PG-13,['English']
,,
American History X,R,['English']
,,
V for Vendetta,R,['English']
,,
Léon,R,"['English', 'Italian', 'French']"
,,
Pirates of the Caribbean: The Curse of the Black Pearl,PG-13,['English']
,,
Goodfellas,R,"['English', 'Italian']"
,,
Kill Bill: Vol. 1,R,"['English', 'Japanese', 'French']"
,,
WALL·E,G,"['English', 'Hindi']"
,,
Terminator 2: Judgment Day,R,"['English', 'Spanish']"
,,
The Usual Suspects,R,"['English', 'Hungarian', 'Spanish', 'French']"
,,
Braveheart,R,"['English', 'French', 'Latin', 'Gaelic', 'Italian']"
,,
Finding Nemo,G,['English']
,,
Star Wars: Episode VI - Return of the Jedi,PG,['English']
,,
The Lion King,G,"['English', 'Swahili', 'Xhosa', 'Zulu']"
,,
Iron Man,PG-13,"['English', 'Persian', 'Urdu', 'Arabic', 'Kurdish', 'Hindi', 'Hungarian']"
,,
The Truman Show,PG,['English']
,,
Up,PG,['English']
,,
Reservoir Dogs,R,['English']
,,
One Flew Over the Cuckoo's Nest,R,['English']
,,
Joker,R,['English']
,,
The Sixth Sense,PG-13,"['English', 'Latin', 'Spanish']"
,,
Eternal Sunshine of the Spotless Mind,R,['English']
,,
Deadpool,R,['English']
,,
The Shining,R,['English']
,,
Toy Story,G,['English']
,,
Raiders of the Lost Ark,PG,"['English', 'German', 'Hebrew', 'Spanish', 'Arabic', 'Nepali']"
,,
Mad Max: Fury Road,R,"['English', 'Russian']"
,,
Jurassic Park,PG-13,"['English', 'Spanish']"
,,
Star Wars: Episode VII - The Force Awakens,PG-13,['English']
,,
Good Will Hunting,R,['English']
,,
Gone Girl,R,['English']
,,
No Country for Old Men,R,"['English', 'Spanish']"
,,
A Beautiful Mind,PG-13,['English']
,,
The Hunger Games,PG-13,['English']
,,
Avengers: Infinity War,PG-13,['English']
,,
Catch Me If You Can,PG-13,"['English', 'French']"
,,
"Monsters, Inc.",G,['English']
,,
The Terminator,R,"['English', 'Spanish']"
,,
Slumdog Millionaire,R,"['English', 'Hindi', 'French', 'German']"
,,
Avengers: Endgame,PG-13,"['English', 'Japanese', 'Xhosa', 'German']"
,,
Alien,R,['English']
,,
Die Hard,R,"['English', 'German', 'Italian', 'Japanese']"
,,
Snatch,R,"['English', 'Russian']"
,,
Gravity,PG-13,"['English', 'Greenlandic']"
,,
Requiem for a Dream,Unrated,['English']
,,
Harry Potter and the Deathly Hallows: Part 2,PG-13,"['English', 'Latin']"
,,
The Hobbit: An Unexpected Journey,PG-13,['English']
,,
The Martian,PG-13,"['English', 'Mandarin']"
,,
A Clockwork Orange,(Banned),['English']
,,
Toy Story 3,G,"['English', 'Spanish']"
,,
The Intouchables,R,"['French', 'English']"
,,
Iron Man Three,PG-13,['English']
,,
Thor,PG-13,['English']
,,
Sin City,R,['English']
,,
Donnie Darko,R,['English']
,,
Avengers: Age of Ultron,PG-13,"['English', 'Korean']"
,,
Scarface,R,"['English', 'Spanish']"
,,
Captain America: The First Avenger,PG-13,"['English', 'Norwegian', 'French']"
,,
Captain America: The Winter Soldier,PG-13,"['English', 'French']"
,,
300,R,['English']
,,
The Big Lebowski,R,"['English', 'German', 'Hebrew', 'Spanish']"
,,
Star Wars: Episode I - The Phantom Menace,PG,"['English', 'Sanskrit']"
,,
The Pianist,(Banned),"['English', 'German', 'Russian']"
,,
Taxi Driver,R,"['English', 'Spanish']"
,,
Iron Man 2,PG-13,"['English', 'French', 'Russian']"
,,
Gran Torino,R,"['English', 'Hmong']"
,,
The Hangover,R,['English']
,,
Whiplash,R,['English']
,,
Star Wars: Episode III - Revenge of the Sith,PG-13,['English']
,,
The Grand Budapest Hotel,R,"['English', 'French', 'German']"
,,
Amélie,R,"['French', 'Russian', 'English']"
,,
The Revenant,R,"['English', 'Pawnee', 'French']"
,,
Black Swan,R,"['English', 'French', 'Italian']"
,,
Cidade de Deus,R,['Portuguese']
,,
Blade Runner,R,"['Low German', 'English', 'German', 'Cantonese', 'Japanese', 'Hungarian', 'Arabic', 'Korean']"
,,
Indiana Jones and the Last Crusade,PG-13,"['English', 'German', 'Greek', 'Arabic']"
,,
Man of Steel,PG-13,['English']
,,
Spider-Man,PG-13,['English']
,,
"Il buono, il brutto, il cattivo",R,['Italian']
,,
I Am Legend,PG-13,['English']
,,
12 Angry Men,Approved,['English']
,,
The Imitation Game,PG-13,"['English', 'German']"
,,
Kill Bill: Vol. 2,R,"['English', 'Cantonese', 'Mandarin', 'Spanish']"
,,
Full Metal Jacket,R,"['English', 'Vietnamese']"
,,
How to Train Your Dragon,PG,['English']
,,
Silver Linings Playbook,R,['English']
,,
X-Men: Days of Future Past,PG-13,"['English', 'Vietnamese', 'French']"
,,
Captain America: Civil War,PG-13,"['English', 'German', 'Xhosa', 'Russian', 'Romanian', 'Hindi']"
,,
The Incredibles,PG,"['English', 'French']"
,,
