Title,AgeRating,Languages
Star Wars: Episode IV - A New Hope,['English'],
The Shawshank Redemption,['English'],
Trainspotting,['English'],
The Usual Suspects,"['English', 'Hungarian', 'Spanish', 'French']",
The Wrong Trousers,['English'],
A Close Shave,['English'],
Star Trek: First Contact,['English'],
Casablanca,"['English', 'French', 'German', 'Italian']",
Blade Runner,"['Low German', 'English', 'German', 'Cantonese', 'Japanese', 'Hungarian', 'Arabic', 'Korean']",
Schindler's List,"['English', 'Hebrew', 'German', 'Polish', 'Latin']",
Citizen Kane,"['English', 'Italian']",
Pulp Fiction,"['English', 'Spanish', 'French']",
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"['English', 'Russian']",
The Godfather,"['English', 'Italian', 'Latin']",
The English Patient,"['English', 'German', 'Italian', 'Arabic']",
Braveheart,"['English', 'French', 'Latin', 'Gaelic', 'Italian']",
Beautiful Thing,['English'],
Lone Star,"['English', 'Spanish']",
Toy Story,['English'],
One Flew Over the Cuckoo's Nest,['English'],
Romeo + Juliet,['English'],
Fargo,['English'],
The Postman,"['Italian', 'Spanish']",
Three Colors: Red,['French'],
Seven Samurai,['Japanese'],
Star Wars: Episode V - The Empire Strikes Back,['English'],
Up in Smoke,"['English', 'Spanish']",
Léon: The Professional,"['English', 'Italian', 'French']",
The Princess Bride,['English'],
Sense and Sensibility,"['English', 'French']",
2001: A Space Odyssey,"['English', 'Russian', 'French']",
Reservoir Dogs,['English'],
The City of Lost Children,"['French', 'Cantonese']",
Indiana Jones and the Raiders of the Lost Ark,"['English', 'German', 'Hebrew', 'Spanish', 'Arabic', 'Nepali']",
That Thing You Do!,['English'],
Clerks,['English'],
Brazil,['English'],
Monty Python and the Holy Grail,"['English', 'French', 'Latin']",
Rear Window,['English'],
Se7en,['English'],
Aliens,['English'],
A Clockwork Orange,['English'],
The Rock,['English'],
Withnail & I,"['English', 'Latin']",
"The Good, the Bad and the Ugly","['Italian', 'English']",
12 Monkeys,"['English', 'French']",
It's a Wonderful Life,"['English', 'French']",
Babe,['English'],
The Transformers: The Movie,"['English', 'Japanese']",
Dead Man Walking,['English'],
To Kill a Mockingbird,['English'],
12 Angry Men,['English'],
Lawrence of Arabia,"['English', 'Arabic', 'Turkish']",
North by Northwest,"['English', 'French']",
Apocalypse Now,"['English', 'French', 'Vietnamese']",
Dazed and Confused,['English'],
Underground,"['Serbian', 'German', 'French', 'English', 'Russian']",
Goodfellas,"['English', 'Italian']",
Once Were Warriors,"['English', 'Maori', 'Spanish']",
A Time to Kill,['English'],
Star Wars: Episode VI - Return of the Jedi,['English'],
Once Upon a Time in the West,"['Italian', 'English', 'Spanish']",
Cinema Paradiso,['Italian'],
Taxi Driver,"['English', 'Spanish']",
Heat,"['English', 'Spanish']",
Three Colors: Blue,"['French', 'Romanian', 'Polish']",
The Silence of the Lambs,"['English', 'Latin']",
Vertigo,['English'],
Wings of Desire,"['German', 'English', 'French', 'Turkish', 'Hebrew', 'Spanish', 'Japanese']",
Ransom,['English'],
Mystery Science Theater 3000: The Movie,['English'],
Alien,['English'],
The Big Blue,"['French', 'English', 'Italian']",
The Blues Brothers,['English'],
The Third Man,"['English', 'German', 'Russian', 'French']",
Army of Darkness,['English'],
The Godfather: Part II,"['English', 'Italian', 'Spanish', 'Latin', 'Sicilian']",
Psycho,['English'],
Secrets & Lies,['English'],
The Killer,"['Cantonese', 'Mandarin', 'Japanese']",
 Babylon 5,['English'],
The Wizard of Oz,['English'],
Empire Records,['English'],
Full Metal Jacket,"['English', 'Vietnamese']",
Ran,['Japanese'],
A Grand Day Out,['English'],
Tombstone,"['English', 'Latin', 'Spanish']",
The Maltese Falcon,['English'],
Terminator 2: Judgment Day,"['English', 'Spanish']",
The Double Life of Véronique,"['French', 'Polish', 'Italian']",
The Quiet Man,"['English', 'Irish Gaelic']",
Once Upon a Time in America,"['English', 'Italian', 'French', 'Yiddish', 'Hebrew']",
Stalker,['Russian'],
Sunset Blvd.,['English'],
Gone with the Wind,['English'],
Singin' in the Rain,['English'],
Smoke,['English'],
Amadeus,"['English', 'Italian', 'Latin', 'German']",
Henry V,"['English', 'French', 'Latin']",
Rumble in the Bronx,"['Cantonese', 'English']",
Much Ado About Nothing,['English'],
Raging Bull,['English'],
Harold and Maude,['English'],
Emma,['English'],
Hard Boiled,"['Cantonese', 'English']",
Delicatessen,['French'],
The Fugitive,"['English', 'Polish', 'Spanish']",
Annie Hall,"['English', 'German']",
Das Boot,['German'],
Breakfast at Tiffany's,"['English', 'Portuguese', 'French', 'Japanese']",
Local Hero,"['English', 'Russian', 'Japanese']",
Now and Then,['English'],
Trust,['English'],
Dead Man,"['English', 'Cree']",
Roman Holiday,"['English', 'Italian', 'German']",
Rashomon,['Japanese'],
Glory,['English'],
The Right Stuff,"['English', 'Russian']",
Modern Times,['English'],
Metropolis,"['German', 'English']",
Mr. Holland's Opus,"['English', 'American Sign Language']",
The Seventh Seal,"['Swedish', 'Latin']",
Braindead,"['English', 'Spanish']",
Courage Under Fire,"['English', 'Arabic']",
Apollo 13,['English'],
The Lion King,"['English', 'Swahili', 'Xhosa', 'Zulu']",
The Sting,['English'],
True Romance,"['English', 'Italian']",
Touch of Evil,"['English', 'Spanish']",
The Hunchback of Notre Dame,"['English', 'Latin']",
While You Were Sleeping,['English'],
The Wild Bunch,"['English', 'Spanish', 'German']",
Bound,"['English', 'Italian']",
Some Like It Hot,['English'],
Dead Poets Society,"['English', 'Latin']",
Heavenly Creatures,"['English', 'French']",
The Crow,['English'],
The Graduate,['English'],
Manhattan,['English'],
Rosencrantz & Guildenstern Are Dead,['English'],
Paths of Glory,"['English', 'German', 'Latin']",
Better Off Dead...,['English'],
The Terminator,"['English', 'Spanish']",
Nikita,"['French', 'Italian', 'English']",
Cheech and Chong's Next Movie,['English'],
Tom and Huck,['English'],
The African Queen,"['English', 'German', 'Swahili']",
Life of Brian,"['English', 'Latin']",
The Day the Earth Stood Still,"['English', 'French', 'Hindi', 'Russian']",
Man Bites Dog,['French'],
The Ghost and the Darkness,"['English', 'Hindi']",
