Rank,Name of Actor/Actress
1,Johnny Depp
2,Al Pacino
3,Robert De Niro
4,Kevin Spacey
5,Denzel Washington
6,Russell Crowe
7,Brad Pitt
8,Angelina Jolie
9,Leonardo DiCaprio
10,Tom Cruise
11,John Travolta
12,Arnold Schwarzenegger
13,Sylvester Stallone
14, Kate Winslet
15,Christian Bale
16, Morgan Freeman
17,Keanu Reeves
18,Nicolas Cage
19,Hugh Jackman
20,Edward Norton
21,Bruce Willis
22,Tom Hanks
23,Charlize Theron
24,Will Smith
25, Sean Connery
26,Keira Knightley
27,Vin Diesel
28,Matt Damon
29,Richard Gere
30,Catherine Zeta-Jones
31,Clive Owen
32,Mel Gibson
33,George Clooney
34,Jack Nicholson
35,Scarlett Johansson
36,Tom Hardy
37,Robert Downey Jr.
38,Orlando Bloom
39,Ian McKellen
40, Antonio Banderas
41,Guy Pearce
42,Samuel L. Jackson
43,Sandra Bullock
44, Meg Ryan
45,Megan Fox
46,Nicole Kidman
47,Gerard Butler
48,Simon Baker
49,Cameron Diaz
50,Katherine Heigl
