Rank,Name of actor
1,Charles Chaplin
2,Marlon Brando
3,Jack Nicholson
4,Daniel Day-Lewis
5,Meryl Streep
6,Tom Hanks
7,Mohanlal
8,Robert De Niro
9,Anthony Hopkins
10,Al Pacino
11,Leonardo DiCaprio
12,Joaquin Phoenix
13,Christoph Waltz
14,Kamal Haasan
15,Choi Min-sik
16,Gary Oldman
17,Heath Ledger
18,Javier Bardem
19,Mammootty
20,Russell Crowe
21,Anupam Kher
22,Christian Bale
23,Naseeruddin Shah
24, George Clooney
25,Sean Penn
26,Kevin Spacey
27,Johnny Depp
28,Sean Connery
29,Jennifer Lawrence
30,Morgan Freeman
31,Sandra Bullock
32,Clint Eastwood
33,Robin Williams
34,Benedict Cumberbatch
35,Tom Hiddleston
36,Denzel Washington
37,Amitabh Bachchan
38,Cate Blanchett
39,Bryan Cranston
40,Irrfan Khan
41,Jim Carrey
42,Dustin Hoffman
43,Nicolas Cage
44,Hugh Jackman
45,Adrien Brody
46,Edward Norton
47,Matt Damon
48,Brad Pitt
49,Samuel L. Jackson
50,Jake Gyllenhaal
51,Martin Freeman
52,Jared Leto
53,Thilakan
