,Unnamed: 0,year_film,year_ceremony,ceremony,category,name,film,winner,Number of wins
5,5,1927,1928,1,ART DIRECTION,Rochus Gliese,Sunrise,False,3
60,90,1929,1930,3,CINEMATOGRAPHY,(Arthur Edeson),All Quiet on the Western Front,False,2
94,162,1931,1932,5,ACTRESS,Marie Dressler,Emma,False,1
128,236,1932,1933,6,DIRECTING,George Cukor,Little Women,False,3
146,266,1934,1935,7,ACTOR,Clark Gable,It Happened One Night,True,5
148,268,1934,1935,7,ACTOR,William Powell,The Thin Man,False,0
170,310,1934,1935,7,SHORT SUBJECT (Comedy),"Jules White, Producer",Men in Black,False,1
310,589,1937,1938,10,MUSIC (Scoring),"Walt Disney Studio Music Department, Leigh Harline, head of department  (Score by Frank Churchill, Leigh Harline and Paul J. Smith)",Snow White and the Seven Dwarfs,False,0
348,665,1938,1939,11,ART DIRECTION,Carl J. Weyl,The Adventures of Robin Hood,True,3
389,785,1939,1940,12,ACTOR,Clark Gable,Gone with the Wind,False,8
392,788,1939,1940,12,ACTOR,James Stewart,Mr. Smith Goes to Washington,False,1
395,792,1939,1940,12,ACTOR IN A SUPPORTING ROLE,Thomas Mitchell,Stagecoach,True,2
405,814,1939,1940,12,ART DIRECTION,"Cedric Gibbons, William A. Horning",The Wizard of Oz,False,2
419,858,1939,1940,12,MUSIC (Scoring),Alfred Newman,The Hunchback of Notre Dame,False,0
442,927,1940,1941,13,ACTOR,Charles Chaplin,The Great Dictator,False,0
443,928,1940,1941,13,ACTOR,Henry Fonda,The Grapes of Wrath,False,2
445,930,1940,1941,13,ACTOR,Laurence Olivier,Rebecca,False,2
446,931,1940,1941,13,ACTOR,James Stewart,The Philadelphia Story,True,2
514,1091,1941,1942,14,ACTOR,Orson Welles,Citizen Kane,False,1
517,1096,1941,1942,14,ACTOR IN A SUPPORTING ROLE,Sydney Greenstreet,The Maltese Falcon,False,0
664,1361,1942,1943,15,MUSIC (Music Score of a Dramatic or Comedy Picture),Max Terr,The Gold Rush,False,0
668,1373,1942,1943,15,MUSIC (Music Score of a Dramatic or Comedy Picture),Werner Heymann,To Be or Not to Be,False,0
703,1456,1943,1944,16,ACTOR,Humphrey Bogart,Casablanca,False,3
777,1585,1943,1944,16,OUTSTANDING MOTION PICTURE,20th Century-Fox,The Ox-Bow Incident,False,0
801,1625,1943,1944,16,WRITING (Original Motion Picture Story),Gordon McDonell,Shadow of a Doubt,False,0
810,1646,1944,1945,17,ACTOR IN A SUPPORTING ROLE,Clifton Webb,Laura,False,1
813,1652,1944,1945,17,ACTRESS,Barbara Stanwyck,Double Indemnity,False,0
849,1725,1944,1945,17,MUSIC (Scoring of a Musical Picture),Walter Scharf,Brazil,False,0
890,1809,1945,1946,18,ACTOR,Ray Milland,The Lost Weekend,True,4
971,1967,1946,1947,19,ACTOR,Fredric March,The Best Years of Our Lives,True,7
972,1968,1946,1947,19,ACTOR,Laurence Olivier,Henry V,False,1
975,1971,1946,1947,19,ACTOR,James Stewart,It's a Wonderful Life,False,0
977,1974,1946,1947,19,ACTOR IN A SUPPORTING ROLE,Claude Rains,Notorious,False,0
980,1978,1946,1947,19,ACTRESS,Celia Johnson,Brief Encounter,False,0
1022,2057,1946,1947,19,WRITING (Original Screenplay),Jacques Prevert,Children of Paradise,False,0
1041,2092,1947,1948,20,ART DIRECTION (Black-and-White),Art Direction:  John Bryan;  Set Decoration:  Wilfred Shingleton,Great Expectations,True,2
1089,2179,1948,1949,21,ACTOR,Laurence Olivier,Hamlet,True,4
1093,2184,1948,1949,21,ACTOR IN A SUPPORTING ROLE,Walter Huston,The Treasure of the Sierra Madre,True,3
1098,2199,1948,1949,21,ART DIRECTION (Color),Art Direction:  Hein Heckroth;  Set Decoration:  Arthur Lawson,The Red Shoes,True,2
1112,2226,1948,1949,21,FILM EDITING,Christian Nyby,Red River,False,0
1193,2381,1949,1950,22,WRITING (Motion Picture Story),Virginia Kellogg,White Heat,False,0
