,year_film,year_ceremony,ceremony,category,name,film,winner
0,1927,1928,1,ACTOR,Richard Barthelmess,The Noose,False
1,1927,1928,1,ACTOR,Emil Jannings,The Last Command,True
2,1927,1928,1,ACTRESS,Louise Dresser,A Ship Comes In,False
3,1927,1928,1,ACTRESS,Janet Gaynor,7th Heaven,True
4,1927,1928,1,ACTRESS,Gloria Swanson,Sadie Thompson,False
5,1927,1928,1,ART DIRECTION,Rochus Gliese,Sunrise,False
6,1927,1928,1,ART DIRECTION,William Cameron Menzies,The Dove;,True
7,1927,1928,1,ART DIRECTION,Harry Oliver,7th Heaven,False
8,1927,1928,1,CINEMATOGRAPHY,George Barnes,The Devil Dancer;,False
9,1927,1928,1,CINEMATOGRAPHY,Charles Rosher,Sunrise,True
10,1927,1928,1,CINEMATOGRAPHY,Karl Struss,Sunrise,True
11,1927,1928,1,DIRECTING (Comedy Picture),Lewis Milestone,Two Arabian Knights,True
12,1927,1928,1,DIRECTING (Comedy Picture),Ted Wilde,Speedy,False
13,1927,1928,1,DIRECTING (Dramatic Picture),Frank Borzage,7th Heaven,True
14,1927,1928,1,DIRECTING (Dramatic Picture),Herbert Brenon,Sorrell and Son,False
15,1927,1928,1,DIRECTING (Dramatic Picture),King Vidor,The Crowd,False
19,1927,1928,1,OUTSTANDING PICTURE,The Caddo Company,The Racket,False
20,1927,1928,1,OUTSTANDING PICTURE,Fox,7th Heaven,False
21,1927,1928,1,OUTSTANDING PICTURE,Paramount Famous Lasky,Wings,True
22,1927,1928,1,UNIQUE AND ARTISTIC PICTURE,Fox,Sunrise,True
23,1927,1928,1,UNIQUE AND ARTISTIC PICTURE,Metro-Goldwyn-Mayer,The Crowd,False
24,1927,1928,1,UNIQUE AND ARTISTIC PICTURE,Paramount Famous Lasky,Chang,False
25,1927,1928,1,WRITING (Adaptation),Alfred Cohn,The Jazz Singer,False
26,1927,1928,1,WRITING (Adaptation),Anthony Coldeway,Glorious Betsy,False
27,1927,1928,1,WRITING (Adaptation),Benjamin Glazer,7th Heaven,True
28,1927,1928,1,WRITING (Original Story),Lajos Biro,The Last Command,False
29,1927,1928,1,WRITING (Original Story),Ben Hecht,Underworld,True
35,1928,1929,2,ACTOR,George Bancroft,Thunderbolt,False
36,1928,1929,2,ACTOR,Warner Baxter,In Old Arizona,True
37,1928,1929,2,ACTOR,Chester Morris,Alibi,False
38,1928,1929,2,ACTOR,Paul Muni,The Valiant,False
39,1928,1929,2,ACTOR,Lewis Stone,The Patriot,False
40,1928,1929,2,ACTRESS,Ruth Chatterton,Madame X,False
41,1928,1929,2,ACTRESS,Betty Compson,The Barker,False
42,1928,1929,2,ACTRESS,Jeanne Eagels,The Letter,False
43,1928,1929,2,ACTRESS,Corinne Griffith,The Divine Lady,False
44,1928,1929,2,ACTRESS,Bessie Love,The Broadway Melody,False
45,1928,1929,2,ACTRESS,Mary Pickford,Coquette,True
46,1928,1929,2,ART DIRECTION,Hans Dreier,The Patriot,False
47,1928,1929,2,ART DIRECTION,Cedric Gibbons,The Bridge of San Luis Rey,True
48,1928,1929,2,ART DIRECTION,Mitchell Leisen,Dynamite,False
49,1928,1929,2,ART DIRECTION,William Cameron Menzies,Alibi;,False
50,1928,1929,2,ART DIRECTION,Harry Oliver,Street Angel,False
51,1928,1929,2,CINEMATOGRAPHY,George Barnes,Our Dancing Daughters,False
52,1928,1929,2,CINEMATOGRAPHY,Clyde De Vinna,White Shadows in the South Seas,True
53,1928,1929,2,CINEMATOGRAPHY,Arthur Edeson,In Old Arizona,False
54,1928,1929,2,CINEMATOGRAPHY,Ernest Palmer,Four Devils;,False
55,1928,1929,2,CINEMATOGRAPHY,John Seitz,The Divine Lady,False
56,1928,1929,2,DIRECTING,Lionel Barrymore,Madame X,False
57,1928,1929,2,DIRECTING,Harry Beaumont,The Broadway Melody,False
58,1928,1929,2,DIRECTING,Irving Cummings,In Old Arizona,False
59,1928,1929,2,DIRECTING,Frank Lloyd,The Divine Lady,True
