Title,Genre,Rating,Runtime,Sales,Language,Age Rating,Director,Cast1,Cast2,Cast3,Cast4,Country of Origin
The Noose,Drama,6.9,1   hour   5   minutes,NIL,"None, English",Add content advisory,John Francis Dillon,Richard Barthelmess,Montagu Love,Robert Emmett O'Connor,NIL,NIL
The Last Command,"Drama, History",8,1   hour   28   minutes,NIL,"None, English",Not Rated,Josef von Sternberg,Emil Jannings,Evelyn Brent,William Powell,NIL,NIL
A Ship Comes In,Drama,5.6,1   hour   10   minutes,NIL,None,Add content advisory,William K. Howard,Rudolph Schildkraut,Louise Dresser,Milton Holmes,NIL,NIL
7th Heaven,"Drama, Romance",7.6,1   hour   50   minutes,NIL,"None, English",Add content advisory,Frank Borzage,Janet Gaynor,Charles Farrell,Ben Bard,NIL,NIL
Sadie Thompson,Drama,7.2,1   hour   37   minutes,NIL,English,Unrated,Raoul Walsh,Lionel Barrymore,Blanche Friderici,Charles Lane,NIL,NIL
Sunrise,"Drama, Romance",8.1,1   hour   34   minutes,121107,"None, English",Passed,F.W. Murnau,George O'Brien,Janet Gaynor,Margaret Livingston,NIL,United States
The Dove;,"Adventure, Drama",6.7,1   hour   30   minutes,NIL,English,Passed,Roland West,Norma Talmadge,Noah Beery,Gilbert Roland,NIL,NIL
The Devil Dancer;,"Drama, Romance",5.3,1   hour   13   minutes,NIL,English,Passed,Fred Niblo,Gilda Gray,Clive Brook,Anna May Wong,NIL,NIL
Two Arabian Knights,"Adventure, Comedy",6.7,1   hour   32   minutes,NIL,English,TV-G,Lewis Milestone,William Boyd,Mary Astor,Louis Wolheim,NIL,NIL
Speedy,"Action, Comedy",7.6,1   hour   25   minutes,NIL,"None, English",Passed,Ted Wilde,Harold Lloyd,Ann Christy,Bert Woodruff,NIL,NIL
Sorrell and Son,Drama,6,1   hour   40   minutes,NIL,English,Add content advisory,Herbert Brenon,H.B. Warner,Anna Q. Nilsson,Mickey McBan,NIL,NIL
The Crowd,"Drama, Romance",8.1,1   hour   38   minutes,NIL,None,Not Rated,King Vidor,Eleanor Boardman,James Murray,Bert Roach,NIL,NIL
The Racket,"Crime, Drama",6.7,1   hour   24   minutes,NIL,"None, English",Passed,Lewis Milestone,Thomas Meighan,Louis Wolheim,Marie Prevost,NIL,NIL
Wings,"Drama, Romance",7.6,2   hours   24   minutes,746,English,PG-13,William A. Wellman,Clara Bow,Charles 'Buddy' Rogers,Richard Arlen,NIL,United States
The Crowd,"Drama, Romance",8.1,1   hour   38   minutes,NIL,None,Not Rated,King Vidor,Eleanor Boardman,James Murray,Bert Roach,NIL,NIL
Chang,"Documentary, Adventure",6.9,1   hour   9   minutes,NIL,None,Passed,Merian C. Cooper,Kru,Chantui,Nah,NIL,NIL
The Jazz Singer,"Drama, Music",6.4,1   hour   28   minutes,NIL,English,Unrated,Alan Crosland,Al Jolson,May McAvoy,Warner Oland,NIL,NIL
Glorious Betsy,"Drama, History",6.2,1   hour   20   minutes,NIL,English,Passed,Alan Crosland,Dolores Costello,Conrad Nagel,John Miljan,NIL,NIL
Underworld,"Crime, Drama",7.6,1   hour   20   minutes,NIL,English,Not Rated,Josef von Sternberg,George Bancroft,Clive Brook,Evelyn Brent,NIL,NIL
Thunderbolt,"Crime, Drama",6.5,1   hour   25   minutes,NIL,English,Passed,Josef von Sternberg,George Bancroft,Fay Wray,Richard Arlen,NIL,NIL
In Old Arizona,Western,5.6,1   hour   35   minutes,NIL,"English, Spanish, Italian",Passed,Irving Cummings,Edmund Lowe,Warner Baxter,Dorothy Burgess,NIL,NIL
Alibi,"Action, Crime",5.7,1   hour   31   minutes,NIL,English,Passed,Roland West,Chester Morris,Harry Stubbs,Mae Busch,NIL,NIL
The Valiant,Drama,6,1   hour   6   minutes,NIL,English,Add content advisory,William K. Howard,Paul Muni,Marguerite Churchill,Johnny Mack Brown,NIL,NIL
The Patriot,"Drama, History",NIL,1   hour   53   minutes,NIL,English,Add content advisory,Ernst Lubitsch,Emil Jannings,Lewis Stone,Florence Vidor,NIL,NIL
Madame X,Drama,5.6,1   hour   35   minutes,NIL,English,Passed,Lionel Barrymore,Lewis Stone,Ruth Chatterton,Raymond Hackett,NIL,NIL
The Barker,Drama,7.1,1   hour   20   minutes,NIL,English,Passed,George Fitzmaurice,Milton Sills,Dorothy Mackaill,Betty Compson,NIL,NIL
The Letter,Drama,6.7,1   hour   5   minutes,NIL,English,Passed,Jean de Limur,Jeanne Eagels,Reginald Owen,Herbert Marshall,NIL,NIL
The Divine Lady,"Drama, History",6.2,1   hour   39   minutes,NIL,"None, English",Not Rated,Frank Lloyd,Corinne Griffith,Victor Varconi,H.B. Warner,NIL,NIL
The Broadway Melody,"Drama, Musical",5.6,1   hour   40   minutes,NIL,English,Passed,Harry Beaumont,Bessie Love,Anita Page,Charles King,NIL,NIL
Coquette,"Drama, Romance",5.6,1   hour   16   minutes,NIL,English,Unrated,Sam Taylor,Mary Pickford,Johnny Mack Brown,Matt Moore,NIL,NIL
The Bridge of San Luis Rey,Drama,7.3,1   hour   26   minutes,NIL,None,Add content advisory,Charles Brabin,Lili Damita,Ernest Torrence,Raquel Torres,NIL,NIL
Dynamite,Drama,7,2   hours   9   minutes,NIL,English,Passed,Cecil B. DeMille,Conrad Nagel,Kay Johnson,Charles Bickford,NIL,NIL
Alibi;,"Action, Crime",5.7,1   hour   31   minutes,NIL,English,Passed,Roland West,Chester Morris,Harry Stubbs,Mae Busch,NIL,NIL
Street Angel,Drama,7.3,1   hour   42   minutes,NIL,None,Not Rated,Frank Borzage,Janet Gaynor,Charles Farrell,Natalie Kingston,NIL,NIL
Our Dancing Daughters,Drama,6.7,1   hour   25   minutes,NIL,English,Not Rated,Harry Beaumont,Joan Crawford,Johnny Mack Brown,Nils Asther,NIL,NIL
White Shadows in the South Seas,"Drama, Romance",6.9,1   hour   28   minutes,NIL,English,Passed,W.S. Van Dyke,Monte Blue,Raquel Torres,Robert Anderson,NIL,NIL
Four Devils;,Drama,7.1,1   hour   40   minutes,NIL,English,Passed,F.W. Murnau,Janet Gaynor,Mary Duncan,Charles Morton,NIL,NIL
Madame X,Drama,5.6,1   hour   35   minutes,NIL,English,Passed,Lionel Barrymore,Lewis Stone,Ruth Chatterton,Raymond Hackett,NIL,NIL
Drag;,Drama,6.7,1   hour   25   minutes,NIL,English,Add content advisory,Frank Lloyd,Richard Barthelmess,Lucien Littlefield,Kathrin Clare Ward,NIL,NIL
