,year_film,year_ceremony,ceremony,category,name,film,winner,Number of wins
5,1927,1928,1,ART DIRECTION,Rochus Gliese,Sunrise,False,3
63,1929,1930,3,CINEMATOGRAPHY,(Arthur Edeson),All Quiet on the Western Front,False,2
105,1931,1932,5,ACTRESS,Marie Dressler,Emma,False,0
144,1932,1933,6,DIRECTING,George Cukor,Little Women,False,1
165,1934,1935,7,ACTOR,Clark Gable,It Happened One Night,True,5
167,1934,1935,7,ACTOR,William Powell,The Thin Man,False,0
177,1934,1935,7,DIRECTING,W. S. Van Dyke,The Thin Man,False,0
187,1934,1935,7,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Thin Man,False,0
194,1934,1935,7,SHORT SUBJECT (Comedy),"Jules White, Producer",Men in Black,False,0
199,1934,1935,7,WRITING (Adaptation),"Frances Goodrich, Albert Hackett",The Thin Man,False,0
369,1937,1938,10,MUSIC (Scoring),"Walt Disney Studio Music Department, Leigh Harline, head of department  (Score by Frank Churchill, Leigh Harline and Paul J. Smith)",Snow White and the Seven Dwarfs,False,0
411,1938,1939,11,ART DIRECTION,Carl J. Weyl,The Adventures of Robin Hood,True,3
484,1939,1940,12,ACTOR,Clark Gable,Gone with the Wind,False,8
487,1939,1940,12,ACTOR,James Stewart,Mr. Smith Goes to Washington,False,1
490,1939,1940,12,ACTOR IN A SUPPORTING ROLE,Thomas Mitchell,Stagecoach,True,2
503,1939,1940,12,ART DIRECTION,"Cedric Gibbons, William A. Horning",The Wizard of Oz,False,2
527,1939,1940,12,MUSIC (Scoring),Alfred Newman,The Hunchback of Notre Dame,False,0
562,1940,1941,13,ACTOR,Charles Chaplin,The Great Dictator,False,0
563,1940,1941,13,ACTOR,Henry Fonda,The Grapes of Wrath,False,2
565,1940,1941,13,ACTOR,Laurence Olivier,Rebecca,False,2
566,1940,1941,13,ACTOR,James Stewart,The Philadelphia Story,True,2
570,1940,1941,13,ACTOR IN A SUPPORTING ROLE,Jack Oakie,The Great Dictator,False,0
610,1940,1941,13,MUSIC (Original Score),Meredith Willson,The Great Dictator,False,0
639,1940,1941,13,OUTSTANDING PRODUCTION,Charles Chaplin Productions,The Great Dictator,False,0
668,1940,1941,13,WRITING (Original Screenplay),Charles Chaplin,The Great Dictator,False,0
678,1941,1942,14,ACTOR,Orson Welles,Citizen Kane,False,1
681,1941,1942,14,ACTOR IN A SUPPORTING ROLE,Sydney Greenstreet,The Maltese Falcon,False,0
760,1941,1942,14,OUTSTANDING MOTION PICTURE,Warner Bros.,The Maltese Falcon,False,0
802,1941,1942,14,WRITING (Screenplay),John Huston,The Maltese Falcon,False,0
875,1942,1943,15,MUSIC (Music Score of a Dramatic or Comedy Picture),Max Terr,The Gold Rush,False,0
885,1942,1943,15,MUSIC (Music Score of a Dramatic or Comedy Picture),Werner Heymann,To Be or Not to Be,False,0
934,1943,1944,16,ACTOR,Humphrey Bogart,Casablanca,False,3
1029,1943,1944,16,OUTSTANDING MOTION PICTURE,20th Century-Fox,The Ox-Bow Incident,False,0
1052,1943,1944,16,WRITING (Original Motion Picture Story),Gordon McDonell,Shadow of a Doubt,False,0
1064,1944,1945,17,ACTOR IN A SUPPORTING ROLE,Clifton Webb,Laura,False,1
1068,1944,1945,17,ACTRESS,Barbara Stanwyck,Double Indemnity,False,0
1083,1944,1945,17,CINEMATOGRAPHY (Black-and-White),John Seitz,Double Indemnity,False,0
1093,1944,1945,17,DIRECTING,Billy Wilder,Double Indemnity,False,0
1106,1944,1945,17,MUSIC (Music Score of a Dramatic or Comedy Picture),Miklos Rozsa,Double Indemnity,False,0
1118,1944,1945,17,MUSIC (Scoring of a Musical Picture),Walter Scharf,Brazil,False,0
1136,1944,1945,17,MUSIC (Song),Music by Ary Barroso; Lyrics by Ned Washington,Brazil,False,0
1141,1944,1945,17,BEST MOTION PICTURE,Paramount,Double Indemnity,False,0
1169,1944,1945,17,WRITING (Screenplay),"Billy Wilder, Raymond Chandler",Double Indemnity,False,0
1173,1945,1946,18,ACTOR,Ray Milland,The Lost Weekend,True,4
1283,1946,1947,19,ACTOR,Fredric March,The Best Years of Our Lives,True,7
1284,1946,1947,19,ACTOR,Laurence Olivier,Henry V,False,0
1287,1946,1947,19,ACTOR,James Stewart,It's a Wonderful Life,False,0
1289,1946,1947,19,ACTOR IN A SUPPORTING ROLE,Claude Rains,Notorious,False,0
1292,1946,1947,19,ACTRESS,Celia Johnson,Brief Encounter,False,0
1301,1946,1947,19,ART DIRECTION (Color),"Art Direction:  Paul Sheriff, Carmen Dillon",Henry V,False,0
1303,1946,1947,19,DIRECTING,David Lean,Brief Encounter,False,0
1304,1946,1947,19,DIRECTING,Frank Capra,It's a Wonderful Life,False,0
1311,1946,1947,19,FILM EDITING,William Hornbeck,It's a Wonderful Life,False,0
1313,1946,1947,19,MUSIC (Music Score of a Dramatic or Comedy Picture),William Walton,Henry V,False,0
1324,1946,1947,19,BEST MOTION PICTURE,J. Arthur Rank-Two Cities Films,Henry V,False,0
1325,1946,1947,19,BEST MOTION PICTURE,Liberty Films,It's a Wonderful Life,False,0
1347,1946,1947,19,WRITING (Original Screenplay),Jacques Prevert,Children of Paradise,False,0
1348,1946,1947,19,WRITING (Original Screenplay),Ben Hecht,Notorious,False,0
1351,1946,1947,19,WRITING (Screenplay),"David Lean, Anthony Havelock-Allan, Ronald Neame",Brief Encounter,False,0
1371,1947,1948,20,ART DIRECTION (Black-and-White),Art Direction:  John Bryan;  Set Decoration:  Wilfred Shingleton,Great Expectations,True,2
1429,1948,1949,21,ACTOR,Laurence Olivier,Hamlet,True,4
1433,1948,1949,21,ACTOR IN A SUPPORTING ROLE,Walter Huston,The Treasure of the Sierra Madre,True,3
1441,1948,1949,21,ART DIRECTION (Color),Art Direction:  Hein Heckroth;  Set Decoration:  Arthur Lawson,The Red Shoes,True,2
1457,1948,1949,21,FILM EDITING,Christian Nyby,Red River,False,0
1487,1948,1949,21,WRITING (Motion Picture Story),Borden Chase,Red River,False,0
1509,1949,1950,22,ART DIRECTION (Color),"Art Direction:  Cedric Gibbons, Paul Groesse;  Set Decoration:  Edwin B. Willis, Jack D. Moore",Little Women,True,1
1559,1949,1950,22,WRITING (Motion Picture Story),Virginia Kellogg,White Heat,False,0
1568,1950,1951,23,ACTOR,José Ferrer,Cyrano de Bergerac,True,1
1569,1950,1951,23,ACTOR,William Holden,Sunset Blvd.,False,3
1570,1950,1951,23,ACTOR,James Stewart,Harvey,False,1
1585,1950,1951,23,CINEMATOGRAPHY (Black-and-White),Robert Krasker,The Third Man,True,1
1632,1951,1952,24,ACTOR,Humphrey Bogart,The African Queen,True,1
1633,1951,1952,24,ACTOR,Marlon Brando,A Streetcar Named Desire,False,4
1658,1951,1952,24,CINEMATOGRAPHY (Black-and-White),Robert Burks,Strangers on a Train,False,0
1714,1952,1953,25,ACTOR,Gary Cooper,High Noon,True,4
1720,1952,1953,25,ACTOR IN A SUPPORTING ROLE,Victor McLaglen,The Quiet Man,False,2
1727,1952,1953,25,ACTRESS IN A SUPPORTING ROLE,Jean Hagen,Singin' in the Rain,False,0
1730,1952,1953,25,ART DIRECTION (Black-and-White),Art Direction:  Matsuyama;  Set Decoration:  H. Motsumoto,Rashomon,False,0
1764,1952,1953,25,MUSIC (Scoring of a Musical Picture),Lennie Hayton,Singin' in the Rain,False,0
1796,1953,1954,26,ACTOR,Montgomery Clift,From Here to Eternity,False,7
1797,1953,1954,26,ACTOR,William Holden,Stalag 17,True,1
1798,1953,1954,26,ACTOR IN A SUPPORTING ROLE,Eddie Albert,Roman Holiday,False,3
1809,1953,1954,26,ART DIRECTION (Black-and-White),"Art Direction:  Lyle Wheeler, Maurice Ransford;  Set Decoration:  Stuart Reiss",Titanic,False,1
1869,1954,1955,27,ACTOR,Humphrey Bogart,The Caine Mutiny,False,0
1870,1954,1955,27,ACTOR,Marlon Brando,On the Waterfront,True,8
1875,1954,1955,27,ACTOR IN A SUPPORTING ROLE,Tom Tully,The Caine Mutiny,False,0
1878,1954,1955,27,ACTRESS,Audrey Hepburn,Sabrina,False,1
1893,1954,1955,27,CINEMATOGRAPHY (Color),Robert Burks,Rear Window,False,0
1906,1954,1955,27,DIRECTING,Alfred Hitchcock,Rear Window,False,0
1912,1954,1955,27,FILM EDITING,"William A. Lyon, Henry Batista",The Caine Mutiny,False,0
1913,1954,1955,27,MUSIC (Music Score of a Dramatic or Comedy Picture),Max Steiner,The Caine Mutiny,False,0
1923,1954,1955,27,BEST MOTION PICTURE,"Stanley Kramer, Producer",The Caine Mutiny,False,0
1942,1954,1955,27,WRITING (Screenplay),Stanley Roberts,The Caine Mutiny,False,0
1943,1954,1955,27,WRITING (Screenplay),John Michael Hayes,Rear Window,False,0
2036,1956,1957,29,ART DIRECTION (Black-and-White),Takashi Matsuyama,The Magnificent Seven,False,0
2042,1956,1957,29,ART DIRECTION (Color),"Art Direction:  Hal Pereira, Walter H. Tyler, Albert Nozaki;  Set Decoration:  Samuel M. Comer, Ray Moyer",The Ten Commandments,False,1
2049,1956,1957,29,COSTUME DESIGN (Black-and-White),Kohei Ezaki,The Magnificent Seven,False,0
2068,1956,1957,29,FOREIGN LANGUAGE FILM,"Italy; Dino De Laurentiis and Carlo Ponti, Producers",La Strada,True,1
2091,1956,1957,29,SPECIAL EFFECTS,"A. Arnold Gillespie, Irving Ries, Wesley C. Miller",Forbidden Planet,False,0
2095,1956,1957,29,WRITING (Motion Picture Story),Cesare Zavattini,Umberto D.,False,0
2104,1957,1958,30,ACTOR,Alec Guinness,The Bridge on the River Kwai,True,7
2105,1957,1958,30,ACTOR,Charles Laughton,Witness for the Prosecution,False,0
2116,1957,1958,30,ACTRESS IN A SUPPORTING ROLE,Elsa Lanchester,Witness for the Prosecution,False,0
2131,1957,1958,30,DIRECTING,Sidney Lumet,12 Angry Men,False,0
