,Rank,Release Group,Worldwide,Release Year,Domestic,%,Foreign,%.1
0,1,Star Wars,"$307,263,857",1977,"$307,263,857",100%,-,-
1,2,Smokey and the Bandit,"$126,737,428",1977,"$126,737,428",100%,-,-
2,3,Close Encounters of the Third Kind,"$116,395,460",1977,"$116,395,460",100%,-,-
3,4,Saturday Night Fever,"$94,213,184",1977,"$94,213,184",100%,-,-
4,5,A Bridge Too Far,"$50,750,000",1977,"$50,750,000",100%,-,-
5,6,The Deep,"$47,346,365",1977,"$47,346,365",100%,-,-
6,7,The Spy Who Loved Me,"$46,838,673",1977,"$46,838,673",100%,-,-
7,8,"Oh, God!","$41,687,243",1977,"$41,687,243",100%,-,-
8,9,Annie Hall,"$38,251,425",1977,"$38,251,425",100%,-,-
9,10,Semi-Tough,"$37,187,139",1977,"$37,187,139",100%,-,-
10,11,Pete's Dragon,"$35,488,000",1977,"$35,488,000",100%,-,-
11,12,Heroes,"$33,500,000",1977,"$33,500,000",100%,-,-
12,13,High Anxiety,"$31,063,038",1977,"$31,063,038",100%,-,-
13,14,Exorcist 2: The Prince Bride,"$30,749,142",1977,"$30,749,142",100%,-,-
14,15,The Rescuers,"$29,000,000",1977,"$29,000,000",100%,-,-
15,16,Slap Shot,"$28,000,000",1977,"$28,000,000",100%,-,-
16,17,Herbie Goes to Monte Carlo,"$28,000,000",1977,"$28,000,000",100%,-,-
17,18,The Gauntlet,"$26,414,658",1977,"$26,414,658",100%,-,-
18,19,The Turning Point,"$25,933,445",1977,"$25,933,445",100%,-,-
19,20,Freaky Friday,"$25,642,000",1977,"$25,642,000",100%,-,-
20,21,The Other Side of Midnight,"$24,652,021",1977,"$24,652,021",100%,-,-
21,22,Looking for Mr. Goodbar,"$22,512,655",1977,"$22,512,655",100%,-,-
22,23,Julia,"$20,714,400",1977,"$20,714,400",100%,-,-
23,24,The Bad News Bears in Breaking Training,"$19,104,350",1977,"$19,104,350",100%,-,-
24,25,For the Love of Benji,"$17,732,000",1977,"$17,732,000",100%,-,-
25,26,"New York, New York","$16,400,000",1977,"$16,400,000",100%,-,-
26,27,Black Sunday,"$15,769,322",1977,"$15,769,322",100%,-,-
27,28,Orca,"$14,717,854",1977,"$14,717,854",100%,-,-
28,29,Bobby Deerfield,"$9,300,000",1977,"$9,300,000",100%,-,-
29,30,Islands in the Stream,"$5,596,173",1977,"$5,596,173",100%,-,-
30,31,"Race for Your Life, Charlie Brown","$3,223,888",1977,"$3,223,888",100%,-,-
31,32,March or Die,"$1,000,000",1977,"$1,000,000",100%,-,-
32,33,Joseph Andrews,"$839,865",1977,"$839,865",100%,-,-
33,34,Citizens Band,"$815,530",1977,"$815,530",100%,-,-
34,35,Fraternity Row,"$290,674",1977,"$290,674",100%,-,-
35,1,Grease,"$159,978,870",1978,"$159,978,870",100%,-,-
36,2,Superman,"$134,218,018",1978,"$134,218,018",100%,-,-
37,3,National Lampoon's Animal House,"$120,091,123",1978,"$120,091,123",100%,-,-
38,4,Every Which Way but Loose,"$85,196,485",1978,"$85,196,485",100%,-,-
39,5,Heaven Can Wait,"$81,640,278",1978,"$81,640,278",100%,-,-
40,6,Hooper,"$78,000,000",1978,"$78,000,000",100%,-,-
41,7,Jaws 2,"$77,737,272",1978,"$77,737,272",100%,-,-
42,8,Revenge of the Pink Panther,"$49,579,269",1978,"$49,579,269",100%,-,-
43,9,The Deer Hunter,"$48,991,826",1978,"$48,979,328",100%,"$12,498",<0.1%
44,10,Halloween,"$47,000,000",1978,"$47,000,000",100%,-,-
45,11,Foul Play,"$44,999,621",1978,"$44,999,621",100%,-,-
46,12,The End,"$44,917,151",1978,"$44,917,151",100%,-,-
47,13,Up in Smoke,"$44,364,244",1978,"$44,364,244",100%,-,-
48,14,Midnight Express,"$35,000,000",1978,"$35,000,000",100%,-,-
49,15,Coming Home,"$32,653,905",1978,"$32,653,905",100%,-,-
50,16,The Lord of the Rings,"$30,471,420",1978,"$30,471,420",100%,-,-
51,17,House Calls,"$28,460,702",1978,"$28,460,702",100%,-,-
52,18,Damien: Omen II,"$26,518,355",1978,"$26,518,355",100%,-,-
53,19,Invasion of the Body Snatchers,"$24,946,533",1978,"$24,946,533",100%,-,-
54,20,Convoy,"$22,765,081",1978,"$22,765,081",100%,-,-
55,21,The Wiz,"$21,049,053",1978,"$21,049,053",100%,-,-
56,22,F.I.S.T.,"$20,388,920",1978,"$20,388,920",100%,-,-
57,23,Sgt. Pepper's Lonely Hearts Club Band,"$20,378,470",1978,"$20,378,470",100%,-,-
58,24,Eyes of Laura Mars,"$20,000,000",1978,"$20,000,000",100%,-,-
59,25,The One and Only,"$16,928,137",1978,"$16,928,137",100%,-,-
60,26,Return from Witch Mountain,"$16,393,000",1978,"$16,393,000",100%,-,-
61,27,Corvette Summer,"$15,514,367",1978,"$15,514,367",100%,-,-
62,28,The Greek Tycoon,"$14,672,713",1978,"$14,672,713",100%,-,-
63,29,Death on the Nile,"$14,560,084",1978,"$14,560,084",100%,-,-
64,30,The Buddy Holly Story,"$14,363,400",1978,"$14,363,400",100%,-,-
65,31,The Big Fix,"$13,062,708",1978,"$13,062,708",100%,-,-
66,32,The Other Side of the Mountain: Part II,"$11,565,678",1978,"$11,565,678",100%,-,-
