,year_film,year_ceremony,ceremony,category,name,film,winner,Number of wins
0,1927,1928,1,ACTOR,Richard Barthelmess,The Noose,False,0
1,1927,1928,1,ACTOR,Emil Jannings,The Last Command,True,1
2,1927,1928,1,ACTRESS,Louise Dresser,A Ship Comes In,False,0
3,1927,1928,1,ACTRESS,Janet Gaynor,7th Heaven,True,3
4,1927,1928,1,ACTRESS,Gloria Swanson,Sadie Thompson,False,0
5,1927,1928,1,ART DIRECTION,Rochus Gliese,Sunrise,False,3
6,1927,1928,1,ART DIRECTION,William Cameron Menzies,The Dove;,True,1
7,1927,1928,1,ART DIRECTION,Harry Oliver,7th Heaven,False,3
8,1927,1928,1,CINEMATOGRAPHY,George Barnes,The Devil Dancer;,False,0
9,1927,1928,1,CINEMATOGRAPHY,Charles Rosher,Sunrise,True,3
10,1927,1928,1,CINEMATOGRAPHY,Karl Struss,Sunrise,True,3
11,1927,1928,1,DIRECTING (Comedy Picture),Lewis Milestone,Two Arabian Knights,True,1
12,1927,1928,1,DIRECTING (Comedy Picture),Ted Wilde,Speedy,False,0
13,1927,1928,1,DIRECTING (Dramatic Picture),Frank Borzage,7th Heaven,True,3
14,1927,1928,1,DIRECTING (Dramatic Picture),Herbert Brenon,Sorrell and Son,False,0
15,1927,1928,1,DIRECTING (Dramatic Picture),King Vidor,The Crowd,False,0
16,1927,1928,1,ENGINEERING EFFECTS,Ralph Hammeras,,False,0
17,1927,1928,1,ENGINEERING EFFECTS,Roy Pomeroy,Wings,True,2
18,1927,1928,1,ENGINEERING EFFECTS,Nugent Slaughter,,False,0
19,1927,1928,1,OUTSTANDING PICTURE,The Caddo Company,The Racket,False,0
20,1927,1928,1,OUTSTANDING PICTURE,Fox,7th Heaven,False,3
21,1927,1928,1,OUTSTANDING PICTURE,Paramount Famous Lasky,Wings,True,2
22,1927,1928,1,UNIQUE AND ARTISTIC PICTURE,Fox,Sunrise,True,3
23,1927,1928,1,UNIQUE AND ARTISTIC PICTURE,Metro-Goldwyn-Mayer,The Crowd,False,0
24,1927,1928,1,UNIQUE AND ARTISTIC PICTURE,Paramount Famous Lasky,Chang,False,0
25,1927,1928,1,WRITING (Adaptation),Alfred Cohn,The Jazz Singer,False,0
26,1927,1928,1,WRITING (Adaptation),Anthony Coldeway,Glorious Betsy,False,0
27,1927,1928,1,WRITING (Adaptation),Benjamin Glazer,7th Heaven,True,3
28,1927,1928,1,WRITING (Original Story),Lajos Biro,The Last Command,False,1
29,1927,1928,1,WRITING (Original Story),Ben Hecht,Underworld,True,1
